Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp
08/11/2005;122.23;119.7135015;2.51;55.52188804;121.8534995;1.48999;56.66265799;117.504;7.25;59.64406392
09/11/2005;122.39;119.9580015;3.02;56.02986563;121.8534995;1.48999;56.66265799;117.504;7.25;59.64406392
10/11/2005;123.34;120.253502;5.23999;58.95252108;121.8534995;1.48999;56.66265799;117.504;7.25;59.64406392
11/11/2005;123.75999;120.5080015;3.95999;60.18112929;121.8534995;1.48999;56.66265799;117.504;7.25;59.64406392
14/11/2005;123.69;120.7370015;3.56;59.86758061;122.1334995;0.52999;58.67667072;117.504;7.25;59.64406392
15/11/2005;123.24001;121.0080015;2.75;57.83344515;122.1334995;0.52999;58.67667072;117.504;7.25;59.64406392
16/11/2005;123.49001;121.193502;1.74001;58.65296408;122.1334995;0.52999;58.67667072;117.504;7.25;59.64406392
17/11/2005;124.64;121.542002;2.37;62.20119813;122.1334995;0.52999;58.67667072;117.504;7.25;59.64406392
18/11/2005;125.13;121.892002;3.02;63.59877342;122.1334995;0.52999;58.67667072;117.504;7.25;59.64406392
21/11/2005;125.75999;122.182001;3.52999;65.32933183;122.423999;3.63;61.42460226;117.504;7.25;59.64406392
22/11/2005;126.3;122.511001;4.07;66.75196734;122.423999;3.63;61.42460226;117.504;7.25;59.64406392
23/11/2005;127.03;122.894001;4.64;68.58184664;122.423999;3.63;61.42460226;117.504;7.25;59.64406392
25/11/2005;127.13;123.3455005;3.79;68.82860911;122.423999;3.63;61.42460226;117.504;7.25;59.64406392
28/11/2005;126.23;123.6670005;2.47001;64.07300842;122.6244995;5.41001;60.829995;117.504;7.25;59.64406392
29/11/2005;126.09;123.9650005;2.4;63.35799753;122.6244995;5.41001;60.829995;117.504;7.25;59.64406392
