Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp;Closure_Daily;Closure_Weekly;Closure_Monthly;MM_Daily_20;MM_Weekly_20;MM_Monthly_20
2004-10-11;112.97;112.6354985;2.22;53.55034947;111.6550005;4.40998;51.34135128;106.095001;1.92;54.10975865;True;False;False;112.63549849999997;111.6550005;106.09500099999998
2004-10-12;112.53;112.5789985;1.25;51.70475884;111.6550005;4.40998;51.34135128;106.095001;1.92;54.10975865;True;False;False;112.57899850000001;111.6550005;106.09500099999998
2004-10-13;111.53999;112.515998;-0.30001;47.81176226;111.6550005;4.40998;51.34135128;106.095001;1.92;54.10975865;True;False;False;112.51599800000001;111.6550005;106.09500099999998
2004-10-14;110.64;112.390998;-1.11999;44.6059802;111.6550005;4.40998;51.34135128;106.095001;1.92;54.10975865;True;False;False;112.390998;111.6550005;106.09500099999998
2004-10-15;111.25999;112.296498;-2.39;47.16828197;111.6550005;4.40998;51.34135128;106.095001;1.92;54.10975865;True;True;False;112.296498;111.6550005;106.09500099999998
2004-10-18;111.67999;112.2569975;-2.16001;48.85117668;111.505501;2.80001;48.97545721;106.095001;1.92;54.10975865;True;False;False;112.25699750000001;111.50550100000001;106.09500099999998
2004-10-19;110.74001;112.1459975;-3.15998;45.44908525;111.505501;2.80001;48.97545721;106.095001;1.92;54.10975865;True;False;False;112.1459975;111.50550100000001;106.09500099999998
2004-10-20;110.52;112.0944975;-4.1;44.68430084;111.505501;2.80001;48.97545721;106.095001;1.92;54.10975865;True;False;False;112.09449750000002;111.50550100000001;106.09500099999998
2004-10-21;111.24001;112.108998;-2.20999;47.7079734;111.505501;2.80001;48.97545721;106.095001;1.92;54.10975865;True;False;False;112.108998;111.50550100000001;106.09500099999998
2004-10-22;109.99001;112.035498;-2.51998;43.38496221;111.505501;2.80001;48.97545721;106.095001;1.92;54.10975865;True;True;False;112.035498;111.50550100000001;106.09500099999998
2004-10-25;109.86;111.990998;-3.11;42.95983971;111.4480005;2.72;54.5357097;106.095001;1.92;54.10975865;True;False;False;111.99099800000002;111.44800049999999;106.09500099999998
2004-10-26;111.53999;112.0039975;-0.99001;49.65349618;111.4480005;2.72;54.5357097;106.095001;1.92;54.10975865;True;False;False;112.00399750000001;111.44800049999999;106.09500099999998
2004-10-27;112.88;112.0559975;1.34001;54.1588493;111.4480005;2.72;54.5357097;106.095001;1.92;54.10975865;True;False;False;112.05599750000002;111.44800049999999;106.09500099999998
2004-10-28;113.22;112.128998;2.58;55.22628764;111.4480005;2.72;54.5357097;106.095001;1.92;54.10975865;True;False;False;112.12899799999998;111.44800049999999;106.09500099999998
