time,Date,Close,MM_Daily_20_exp,MoM_Daily_10_exp,RSI_Daily_21_exp,MM_Weekly_20_exp,MoM_Weekly_10_exp,RSI_Weekly_21_exp,MM_Monthly_20_exp,MoM_Monthly_10_exp,RSI_Monthly_21_exp
2008-05-21T13:30:00Z,2008-5-21,139.490,140.46550049999988,-0.029989999999997963,51.81299767706939,135.72249950000011,47.647792299068925,8.0299999999999727,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-22T13:30:00Z,2008-5-22,139.510,140.52499949999986,0.34998999999999114,51.858302219862715,135.72249950000011,47.647792299068925,8.0299999999999727,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-23T13:30:00Z,2008-5-23,137.640,140.42699899999988,-1.2599900000000162,47.472148679818794,135.72249950000011,47.647792299068925,8.0299999999999727,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-27T13:30:00Z,2008-5-27,138.660,140.37849899999986,-1.8000100000000145,49.899100985398057,135.7325005000001,49.9881462478887,8.270009999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-28T13:30:00Z,2008-5-28,139.300,140.38949899999986,-1.1799999999999784,51.379107521216135,135.7325005000001,49.9881462478887,8.270009999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-29T13:30:00Z,2008-5-29,140.000,140.47649949999987,-0.77000000000001023,52.974469306055397,135.7325005000001,49.9881462478887,8.270009999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-30T13:30:00Z,2008-5-30,140.350,140.43799999999987,-2.1799900000000036,53.770855687599237,135.7325005000001,49.9881462478887,8.270009999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-06-02T13:30:00Z,2008-6-02,138.900,140.30749999999986,-3.7600099999999941,50.081501904801797,135.94400000000013,46.703825408528466,4.7800000000000011,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-03T13:30:00Z,2008-6-03,138.090,140.17049999999986,-4.960000000000008,48.144007070701285,135.94400000000013,46.703825408528466,4.7800000000000011,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-04T13:30:00Z,2008-6-04,138.020,139.96899999999988,-3.8699999999999761,47.975588026992433,135.94400000000013,46.703825408528466,4.7800000000000011,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-05T13:30:00Z,2008-6-05,140.780,140.03199999999987,1.2899899999999889,54.55696321996858,135.94400000000013,46.703825408528466,4.7800000000000011,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-06T13:30:00Z,2008-6-06,136.290,139.88849949999988,-3.2199999999999989,44.862560591061779,135.94400000000013,46.703825408528466,4.7800000000000011,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-09T13:30:00Z,2008-6-09,136.620,139.77449999999988,-1.0199999999999818,45.608444832667672,136.09950000000009,46.592987514840736,-0.74000999999998385,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-10T13:30:00Z,2008-6-10,135.940,139.54849949999988,-2.7199999999999989,44.311526406861056,136.09950000000009,46.592987514840736,-0.74000999999998385,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-11T13:30:00Z,2008-6-11,133.940,139.22149949999985,-5.3600000000000136,40.734363541279336,136.09950000000009,46.592987514840736,-0.74000999999998385,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-12T13:30:00Z,2008-6-12,134.450,138.90549949999985,-5.5500000000000114,41.988276105371291,136.09950000000009,46.592987514840736,-0.74000999999998385,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-13T13:30:00Z,2008-6-13,136.150,138.58649899999983,-4.200019999999995,45.987914574531906,136.09950000000009,46.592987514840736,-0.74000999999998385,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-16T13:30:00Z,2008-6-16,136.230,138.26499899999985,-2.6699900000000127,46.1713173567938,135.69950000000011,43.088132967252037,-1.7999999999999829,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-17T13:30:00Z,2008-6-17,135.570,137.89099949999985,-2.5199900000000071,44.852206865838497,135.69950000000011,43.088132967252037,-1.7999999999999829,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-18T13:30:00Z,2008-6-18,134.250,137.50899949999982,-3.7700000000000102,42.313475372441239,135.69950000000011,43.088132967252037,-1.7999999999999829,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-19T13:30:00Z,2008-6-19,134.420,137.25549899999982,-6.3600000000000136,42.751659713458196,135.69950000000011,43.088132967252037,-1.7999999999999829,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-20T13:30:00Z,2008-6-20,131.580,136.85899949999981,-4.7099899999999764,37.725092345708696,135.69950000000011,43.088132967252037,-1.7999999999999829,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-23T13:30:00Z,2008-6-23,131.450,136.54949949999983,-5.1700000000000159,37.513102129113783,135.42249950000013,40.269401590917099,-10.949999999999989,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-24T13:30:00Z,2008-6-24,131.190,136.17599949999982,-4.75,37.07558723682272,135.42249950000013,40.269401590917099,-10.949999999999989,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-25T13:30:00Z,2008-6-25,131.810,135.80149949999981,-2.1299999999999955,38.860988805560943,135.42249950000013,40.269401590917099,-10.949999999999989,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-26T13:30:00Z,2008-6-26,128.230,135.21299949999982,-6.2199999999999989,33.157067888723887,135.42249950000013,40.269401590917099,-10.949999999999989,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-27T13:30:00Z,2008-6-27,127.530,134.57199899999983,-8.6199900000000014,32.187125033839294,135.42249950000013,40.269401590917099,-10.949999999999989,143.30149950000006,-19.609999999999999,45.874759259529121
2008-06-30T13:30:00Z,2008-6-30,127.980,134.02599949999984,-8.2499999999999858,33.500213698195793,134.98099950000011,39.453062044999996,-13.290009999999995,143.30149950000006,-19.609999999999999,45.874759259529121
2008-07-01T13:30:00Z,2008-7-01,128.380,133.54049949999998,-7.1900100000000009,34.680697975773711,134.98099950000011,39.453062044999996,-13.290009999999995,142.61649950000009,-25.750000000000014,45.180876510971835
2008-07-02T13:30:00Z,2008-7-02,126.180,132.948499,-8.0700099999999964,31.455943620767329,134.98099950000011,39.453062044999996,-13.290009999999995,142.61649950000009,-25.750000000000014,45.180876510971835
2008-07-03T13:30:00Z,2008-7-03,126.310,132.224999,-8.1099999999999852,31.849150839735188,134.98099950000011,39.453062044999996,-13.290009999999995,142.61649950000009,-25.750000000000014,45.180876510971835
2008-07-07T13:30:00Z,2008-7-07,125.020,131.66149949999999,-6.5600000000000165,30.053004069310845,134.39199950000011,37.823093845335059,-17.669989999999984,142.61649950000009,-25.750000000000014,45.180876510971835
2008-07-08T13:30:00Z,2008-7-08,127.240,131.1925,-4.2099899999999906,36.521795080734435,134.39199950000011,37.823093845335059,-17.669989999999984,142.61649950000009,-25.750000000000014,45.180876510971835
